Дата_Час,Текст_Поста,Перегляди,Реакції
2023-10-01 09:15,Доброго ранку! Головні новини,1500,120
2023-10-01 12:30,Аналітика ринку за тиждень,2100,250
2023-10-01 18:45,Вечірній дайджест подій,3500,400
2023-10-02 08:20,Термінова новина!,4200,600
2023-10-02 13:00,Огляд економіки,1800,150
2023-10-02 19:10,Підсумки дня,3800,450
2023-10-03 10:05,Корисна стаття для розробників,2500,300
2023-10-03 14:40,Цікавий факт про ШІ,1900,180
2023-10-03 20:00,Опитування: який ваш улюблений ЯП?,4500,800
2023-10-04 09:00,Ранкова кава та новини,1600,140
2023-10-04 15:15,Анонс майбутньої конференції,2200,210
2023-10-04 18:30,Важливе оновлення застосунку,3900,500
